Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2015;00:00;00:00;96.341,25;27.463;12.508,5;298.791,75;17.080,25;2.148,5;251.485,25;314.599;60.725,25;23.806;23.683,5;134.117
02.01.2015;00:00;00:00;96.247,25;27.087,75;10.329,25;591.620,75;7.759;2.904;218.435,5;257.344;83.617,25;29.919,25;25.524,75;148.762
03.01.2015;00:00;00:00;95.923,75;31.135,75;12.119,5;457.043,5;7.234,75;3.245;245.251,5;296.727,5;60.999,25;29.790,75;26.328,75;139.297
04.01.2015;00:00;00:00;96.885;42.212,25;11.538,5;379.029,5;19.982,5;3.247;251.627,75;287.900,5;47.224,5;21.470,75;26.499,25;132.493,75
05.01.2015;00:00;00:00;96.449;38.092,5;7.745,5;219.623,5;26.522,25;3.217,75;267.081;405.171,25;177.046,75;35.151,75;25.738,5;207.876
06.01.2015;00:00;00:00;94.510,5;36.153;6.887,75;102.706,75;32.887,25;3.246,25;273.756;423.603,75;259.151,75;42.873,25;19.500,75;217.470,5
07.01.2015;00:00;00:00;95.730,5;35.462,5;10.693,25;210.599;17.114,75;3.265,5;274.628,5;432.580,25;259.317,75;56.351,25;26.789,75;225.419,5
08.01.2015;00:00;00:00;95.878,75;35.839,25;12.334,75;420.530,25;8.598,25;3.004;272.119,25;398.987;223.824;38.659,5;30.748,25;189.578
09.01.2015;00:00;00:00;97.246,5;36.483,5;8.800,25;635.351,75;6.823,75;2.994,25;265.038;332.049,25;120.109,25;39.516;32.508,75;153.610,25
10.01.2015;00:00;00:00;97.423,5;44.021,25;6.504,75;624.062,5;20.475;3.190,75;260.759,5;220.411,25;46.806,25;21.427,5;27.274,75;139.439,5
11.01.2015;00:00;00:00;97.019,5;43.132,75;9.552,25;620.424,5;19.811,25;3.252,5;245.074;184.685,5;39.772;18.218;21.749,25;137.690,25
12.01.2015;00:00;00:00;97.835,25;41.993;11.670,5;621.972,25;11.025;3.156,75;260.996;319.847,75;116.508,5;33.819,75;25.220;24.344
13.01.2015;00:00;00:00;97.231;40.001,25;8.940,75;508.998,75;50.283,75;2.135,5;266.823,25;349.167,75;165.980,25;37.937,5;27.453;23.065,25
14.01.2015;00:00;00:00;96.694;39.135;8.974,5;400.045,75;18.106;3.017;269.735,5;397.912;217.210;35.094,5;28.666,5;24.753
15.01.2015;00:00;00:00;97.259,75;39.645,75;12.271,25;536.748,75;17.155;3.321,25;264.059;380.706,75;174.614,5;36.535,5;29.153;145.820
16.01.2015;00:00;00:00;96.885,25;39.171,25;10.403,25;257.051,5;22.817,75;3.271;268.893;413.406,75;241.881,5;36.610,25;28.506,75;200.534,25
17.01.2015;00:00;00:00;97.477,75;39.532,75;11.518,5;122.733;21.405,5;3.225,5;270.262;430.839,75;229.075;30.315,25;27.817,75;162.602,5
18.01.2015;00:00;00:00;97.890,5;38.584,5;5.238,5;126.265;31.259;3.364,5;265.666,5;424.949,75;203.581,75;35.578;24.383,75;151.311,75
19.01.2015;00:00;00:00;97.017,5;39.067,75;481,25;32.878,5;23.682;3.308,5;273.062,25;454.009,25;276.538,5;79.073,75;29.304;241.982
20.01.2015;00:00;00:00;97.555,75;41.197,25;1.281,75;15.892;10.790,75;3.259,5;273.777,25;469.374,75;287.675,25;93.643,75;35.436;258.606,25
21.01.2015;00:00;00:00;97.672;42.070;2.322,25;45.236,5;22.120,75;3.344,75;273.968,75;455.153,75;299.765;92.048,5;29.634,5;251.168,5
22.01.2015;00:00;00:00;97.424,75;40.761,5;1.289;63.024,5;12.118;3.343,75;274.210,5;440.998,5;320.655,5;87.350,5;36.052;246.308,75
23.01.2015;00:00;00:00;96.673,75;39.414;4.399;31.449;7.013;3.329,75;274.205,25;443.102,25;330.013,25;73.693,25;35.249,5;235.487,5
24.01.2015;00:00;00:00;96.977;36.880,75;11.741,25;142.059;9.833,5;3.314,5;272.426,75;440.764,25;254.449;38.135,25;23.025;167.761,5
25.01.2015;00:00;00:00;97.662,75;33.328,75;8.604,25;107.670,75;11.570;3.198,25;267.070,25;430.662,25;224.340,25;34.158,75;23.280,75;162.787
26.01.2015;00:00;00:00;98.079,5;33.015,25;14.427,25;204.852;10.595;3.306,25;272.757;416.757;304.283,5;57.466,5;29.058,25;234.396,75
27.01.2015;00:00;00:00;98.047,25;34.890;11.132,25;266.563,75;17.572,5;3.150,75;272.870,25;394.732,5;293.353;50.365,25;26.024,5;240.059
28.01.2015;00:00;00:00;97.333;35.021,75;13.715;412.118,25;16.580;3.223,75;271.213,25;375.403,5;261.068;49.441;25.567,5;198.105
